1	2	Used-for
3	4	Used-for
5	6	Evaluate-for
7	8	Conjunction
9	10	Is-a-Prerequisite-of
11	12	Used-for
13	14	Part-of
15	16	Is-a-Prerequisite-of
17	18	Is-a-Prerequisite-of
19	20	Is-a-Prerequisite-of
21	22	Used-for
23	24	Compare
3	25	Evaluate-for
26	27	Evaluate-for
28	29	Compare
30	31	Evaluate-for
32	33	Hyponym-Of
34	35	Evaluate-for
36	37	Used-for
38	39	Used-for
40	41	Conjunction
42	27	Used-for
43	44	Compare
45	46	Evaluate-for
47	48	Used-for
49	50	Used-for
51	52	Part-of
53	54	Evaluate-for
55	56	Used-for
57	58	Used-for
59	60	Is-a-Prerequisite-of
61	62	Used-for
63	64	Used-for
65	66	Used-for
67	68	Used-for
7	69	Part-of
70	71	Evaluate-for
72	73	Hyponym-Of
74	75	Used-for
76	77	Evaluate-for
78	79	Evaluate-for
65	28	Compare
80	81	Part-of
82	83	Compare
84	85	Used-for
86	87	Used-for
88	89	Part-of
90	91	Compare
57	92	Used-for
93	94	Used-for
95	96	Conjunction
97	52	Compare
98	99	Is-a-Prerequisite-of
59	100	Is-a-Prerequisite-of
101	102	Part-of
103	104	Used-for
105	106	Used-for
107	108	Is-a-Prerequisite-of
109	110	Used-for
111	112	Used-for
113	114	Part-of
115	116	Evaluate-for
100	117	Used-for
118	119	Used-for
120	121	Hyponym-Of
122	123	Compare
124	125	Used-for
61	126	Hyponym-Of
127	128	Used-for
59	129	Is-a-Prerequisite-of
130	131	Is-a-Prerequisite-of
132	33	Part-of
59	58	Is-a-Prerequisite-of
133	134	Part-of
135	136	Used-for
94	137	Used-for
138	139	Used-for
140	141	Is-a-Prerequisite-of
142	143	Is-a-Prerequisite-of
144	145	Compare
146	147	Evaluate-for
148	149	Part-of
150	151	Used-for
152	153	Evaluate-for
154	155	Conjunction
156	157	Evaluate-for
158	159	Used-for
160	161	Compare
162	163	Evaluate-for
164	165	Is-a-Prerequisite-of
166	167	Part-of
168	46	Part-of
169	74	Part-of
170	124	Used-for
171	172	Part-of
173	174	Part-of
52	175	Evaluate-for
176	177	Is-a-Prerequisite-of
178	179	Used-for
180	181	Part-of
182	183	Part-of
184	125	Compare
185	186	Used-for
187	129	Used-for
188	189	Used-for
190	10	Is-a-Prerequisite-of
16	191	Part-of
192	193	Hyponym-Of
59	194	Is-a-Prerequisite-of
195	196	Used-for
197	85	Part-of
198	199	Used-for
200	201	Hyponym-Of
202	203	Used-for
204	205	Part-of
7	206	Evaluate-for
207	208	Is-a-Prerequisite-of
209	52	Is-a-Prerequisite-of
210	211	Used-for
212	213	Used-for
214	215	Evaluate-for
207	216	Is-a-Prerequisite-of
122	217	Used-for
218	219	Used-for
220	221	Used-for
222	223	Part-of
224	225	Is-a-Prerequisite-of
226	227	Part-of
228	229	Hyponym-Of
230	231	Hyponym-Of
232	233	Compare
234	159	Hyponym-Of
185	235	Compare
236	237	Used-for
238	239	Used-for
240	241	Used-for
202	242	Part-of
21	243	Evaluate-for
244	245	Evaluate-for
246	247	Used-for
248	249	Used-for
250	70	Used-for
251	252	Used-for
253	254	Part-of
255	256	Is-a-Prerequisite-of
257	140	Used-for
258	259	Evaluate-for
41	74	Compare
260	159	Is-a-Prerequisite-of
258	261	Conjunction
196	198	Is-a-Prerequisite-of
262	112	Used-for
263	264	Compare
265	266	Evaluate-for
267	49	Part-of
268	269	Is-a-Prerequisite-of
270	202	Compare
271	98	Evaluate-for
159	52	Evaluate-for
216	272	Used-for
273	274	Part-of
219	275	Evaluate-for
276	277	Used-for
278	28	Part-of
279	280	Part-of
281	282	Part-of
283	284	Evaluate-for
285	21	Used-for
286	287	Hyponym-Of
288	289	Used-for
290	190	Part-of
291	292	Used-for
293	254	Part-of
294	295	Used-for
248	296	Part-of
297	298	Used-for
299	52	Used-for
300	238	Used-for
70	301	Hyponym-Of
59	245	Is-a-Prerequisite-of
302	303	Part-of
304	305	Part-of
306	307	Used-for
308	70	Is-a-Prerequisite-of
309	310	Is-a-Prerequisite-of
311	312	Part-of
313	314	Compare
315	245	Used-for
186	316	Used-for
317	318	Part-of
94	319	Part-of
320	70	Part-of
321	322	Hyponym-Of
323	324	Evaluate-for
325	326	Used-for
327	190	Part-of
328	329	Part-of
14	307	Evaluate-for
330	331	Part-of
332	333	Used-for
334	335	Part-of
336	337	Is-a-Prerequisite-of
338	339	Used-for
59	97	Is-a-Prerequisite-of
11	340	Is-a-Prerequisite-of
341	313	Part-of
342	343	Hyponym-Of
344	345	Evaluate-for
292	346	Used-for
347	348	Is-a-Prerequisite-of
349	350	Evaluate-for
351	352	Part-of
353	354	Is-a-Prerequisite-of
355	353	Used-for
356	357	Evaluate-for
358	196	Is-a-Prerequisite-of
359	360	Hyponym-Of
361	362	Is-a-Prerequisite-of
363	364	Part-of
365	366	Part-of
367	368	Part-of
369	370	Used-for
371	372	Is-a-Prerequisite-of
373	374	Hyponym-Of
15	375	Used-for
376	377	Conjunction
378	379	Part-of
101	380	Evaluate-for
381	382	Used-for
34	383	Evaluate-for
52	89	Hyponym-Of
384	385	Part-of
386	387	Part-of
98	388	Used-for
389	390	Used-for
391	392	Part-of
393	394	Hyponym-Of
288	395	Used-for
396	397	Used-for
398	399	Part-of
400	357	Is-a-Prerequisite-of
401	402	Used-for
216	403	Used-for
363	404	Conjunction
405	406	Is-a-Prerequisite-of
220	407	Evaluate-for
408	74	Part-of
292	409	Used-for
248	410	Part-of
411	412	Evaluate-for
413	414	Part-of
73	396	Is-a-Prerequisite-of
142	415	Used-for
416	417	Part-of
418	419	Is-a-Prerequisite-of
405	420	Evaluate-for
421	422	Evaluate-for
36	423	Used-for
424	92	Used-for
425	426	Is-a-Prerequisite-of
427	428	Used-for
201	429	Used-for
390	245	Used-for
430	431	Hyponym-Of
301	432	Compare
433	434	Part-of
435	176	Is-a-Prerequisite-of
436	371	Used-for
437	438	Part-of
186	129	Is-a-Prerequisite-of
251	439	Part-of
440	98	Used-for
441	198	Is-a-Prerequisite-of
8	442	Is-a-Prerequisite-of
443	444	Compare
263	445	Compare
446	447	Evaluate-for
405	448	Conjunction
449	56	Evaluate-for
216	450	Used-for
451	452	Used-for
453	454	Is-a-Prerequisite-of
455	456	Evaluate-for
171	457	Used-for
144	458	Evaluate-for
459	460	Hyponym-Of
443	461	Hyponym-Of
384	462	Used-for
340	463	Is-a-Prerequisite-of
464	129	Used-for
465	386	Hyponym-Of
466	92	Part-of
467	468	Used-for
469	470	Used-for
471	472	Used-for
473	474	Evaluate-for
365	475	Evaluate-for
471	476	Compare
202	93	Used-for
289	68	Used-for
451	477	Used-for
478	479	Compare
207	480	Is-a-Prerequisite-of
481	482	Evaluate-for
270	483	Part-of
141	128	Compare
353	484	Compare
485	486	Evaluate-for
487	488	Used-for
381	489	Evaluate-for
323	490	Used-for
491	492	Part-of
493	224	Is-a-Prerequisite-of
494	481	Is-a-Prerequisite-of
70	495	Is-a-Prerequisite-of
258	496	Used-for
497	245	Used-for
498	499	Used-for
381	204	Used-for
500	501	Hyponym-Of
100	85	Compare
502	112	Used-for
352	503	Evaluate-for
504	505	Compare
506	507	Used-for
508	509	Is-a-Prerequisite-of
510	511	Part-of
512	513	Used-for
514	515	Is-a-Prerequisite-of
255	361	Used-for
227	516	Evaluate-for
52	517	Used-for
518	269	Used-for
519	198	Is-a-Prerequisite-of
520	521	Is-a-Prerequisite-of
170	522	Used-for
59	523	Is-a-Prerequisite-of
396	524	Used-for
525	196	Part-of
59	11	Is-a-Prerequisite-of
504	526	Used-for
527	528	Used-for
529	530	Conjunction
531	301	Part-of
532	533	Part-of
317	534	Used-for
297	56	Is-a-Prerequisite-of
246	535	Used-for
421	536	Part-of
254	537	Used-for
538	198	Hyponym-Of
467	539	Hyponym-Of
540	399	Used-for
541	517	Evaluate-for
207	542	Is-a-Prerequisite-of
216	485	Part-of
386	269	Used-for
543	544	Used-for
68	545	Part-of
114	546	Used-for
311	547	Part-of
548	53	Hyponym-Of
374	520	Hyponym-Of
549	550	Part-of
144	551	Compare
552	134	Used-for
377	553	Evaluate-for
554	555	Part-of
556	511	Evaluate-for
427	557	Used-for
558	559	Compare
560	561	Hyponym-Of
562	563	Used-for
532	564	Evaluate-for
565	362	Used-for
465	566	Part-of
567	568	Compare
569	301	Used-for
570	571	Is-a-Prerequisite-of
572	573	Part-of
574	575	Used-for
576	577	Evaluate-for
578	579	Is-a-Prerequisite-of
580	414	Part-of
434	238	Used-for
171	581	Part-of
582	583	Used-for
